id	text	labels
PMC1764756_0	"Chronic obstructive pulmonary disease (COPD), a common, costly and preventable disease and is the fourth leading cause of death globally [1,2]. Internationally there is a substantial variation in death rate due to COPD possibly reflecting smoking behaviour, type and processing of tobacco, pollution, climate, and genetic factors. Given the fact that there is an increasing tendency to abuse tobacco [3-6], prevalence of COPD is expected to increase in the years to come. Acute exacerbation of COPD (AE-COPD) is a common cause of emergency room (ER) visits and is a major cause of morbidity and mortality. Following an acute exacerbation, majority of the patients experience a temporary or permanent decrease in the quality of life [7]. Moreover, more than half the patients discharged with AE-COPD often require re-admission in the subsequent six months [7]. Thus, the economic and social burden of AE-COPD are extremely high [1]. The great variability in the course of AE-COPD even in patients with similar degree of pulmonary impairment renders the prediction of the outcome in a given patient very difficult. Most studies have tried to correlate impairment in both respiratory and non-respiratory physiology with the course and progression of the AE-COPD with inconclusive results.
"	HP_0006510;HP_0011009;HP_0011010
PMC1764756_1	"Though AE-COPD is a common reason for ER visits, little has been documented about this problem from India. Furthermore, even less data are available from India regarding the prevalence, precipitating factors and predictors of prognosis in patients with AE-COPD. Even from the developed world, while there are many published studies regarding the prognostic factors among patients with AE-COPD who are ambulatory, few studies have examined the prognostic factors in patients with severe AE-COPD who visit the ER and little is known regarding the long-term prognosis of patients with AE-COPD [8]. Keeping these factors in mind, the present study was designed to prospectively study the clinical presentation and predictors of outcome in patients with AE-COPD requiring admission to the intensive care unit (ICU).
"	HP_0006510;HP_0012828
PMC1764756_10	"The mean age of the patients was 62.1  9.8 years (Table 1); there were 102 males. Their demographic parameters, smoking history, COPD staging based on pulmonary function testing done prior to the present episode of ER visit as per the Global Initiative for Chronic Obstructive Lung Disease (GOLD) staging [1] and details regarding co-morbid conditions are depicted in Table 1. Majority of the males (64.8%) smoked bidis. All women gave a history of exposure to domestic fuel such as dried cow dung cakes, wood, dried coconut shells, crop residues and grass.
"	HP_0006510;HP_0011010
PMC1764756_11	"Evidence of past pulmonary TB was present in 28.4% patients presenting with AE-COPD requiring admission into the medical ICU (n = 116). In five of these patients who also had type II diabetes mellitus, sputum smear-positive pulmonary TB was diagnosed at the time of presenting to the ER with AE-COPD. Three patients with type II diabetes mellitus also had diabetic ketoacidosis. On comparing the prevalence of past pulmonary tuberculosis (TB) among the 314 patients with AE-COPD (116 patients with AE-COPD who were admitted to the medical ICU, the 198 patients who presented to the ER, but who did not require admission into the medical ICU) and the remaining 600 patients who were on follow-up but who did not develop AE-COPD, it was found that patients with past pulmonary TB were more likely to suffer from AE-COPD than those who did not have pulmonary TB (61 of 314 vs. 24 of 600; 2 = 56.343, p < 0.001).
"	HP_0005978;HP_0001953;HP_0006510;HP_0000819
PMC1764756_12	"Table 2 depicts the clinical presentation of AE-COPD. All the 15 of the 116 (12.9%) patients with altered sensorium manifested one or more metabolic abnormalities [hyponatremia (n = 9); hypokalemia (n = 7); hyperbilirubinemia (n = 3); elevated transaminases (n = 12) elevated blood urea (n = 11); and elevated serum creatinine (n = 3)] or type II respiratory failure and carbon dioxide retention (n = 11). Cor-pulmonale was present in 23 (19.8%) patients.
"	HP_0002902;HP_0002900;HP_0001648;HP_0006510;HP_0003138;HP_0003259;HP_0012416;HP_0002910;HP_0002878
PMC1764756_14	"Laboratory abnormalities at initial presentation are shown in Table 3. ABG analysis revealed respiratory failure in 40 (33.8%) patients; 7 (17.5%) manifested type I and 33 (82.5%) patients manifested type II respiratory failure. Bacterial isolates were grown in 25 (21.6%) patients; in 11 (44%) patients, more than one pathogen was isolated. Of these isolates, S. pneumoniae (42.9%) and Klebsiella sp (35.7%) were the most common bacteria isolated.
"	HP_0002878;HP_0002090
PMC1764756_15	"There was no statistically significant difference in the clinical presentation and laboratory abnormalities between smokers of bidi and cigarette. Invasive mechanical ventilation was required in 18 (15.5%) patients. Overall, 16 (13.7%) patients died. This included patients requiring mechanical ventilation (n = 8), patients who had type II diabetes mellitus and diabetic ketoacidosis (n = 3); type II diabetes mellitus and active pulmonary TB (n = 5) at presentation. The mean duration of in-hospital stay was 6.8  6.6 days.
"	HP_0005978;HP_0001953;HP_0000819
PMC1764756_16	"The predictors of in-hospital death in patients with AE-COPD as per univariate sensitivity analysis and stepwise multivariate logistic regression analysis are shown in Tables 4 and 5 respectively. Type of smoking (cigarette vs. bidi) did not influence the outcome (death). Stepwise multivariate logistic regression analysis revealed need for invasive ventilation (p < 0.001); presence of co-morbid illness (p < 0.01) and hypercapnia (p < 0.05) were predictors of death.
"	HP_0012416;HP_0006510
PMC1764756_17	"Reliable epidemiological data regarding the burden of AE-COPD in the ER are lacking from India. Even less is known regarding the clinical presentation and outcome of AE-COPD in a predominantly bidi smoking population similar to the patients included in the present study. Observations from the present study indicate that patients with AE-COPD had one or more co-morbid conditions and metabolic abnormalities at presentation. High prevalence of past pulmonary TB was observed and active pulmonary TB was identified to be an important infective cause of AE-COPD.
"	HP_0006510
PMC1764756_18	"Bidi smoking is more common in lower and middle income groups especially those residing in smaller towns, and rural areas of India as bidis are cheaper than cigarettes. Furthermore, bidi smoking is considered to cause about two to three times greater nicotine and tar inhalation than do conventional cigarettes, due to the poor combustibility of the bidi and greater puff frequency needed to keep the bidi alight [11]. All these factors may exaggerate the health risks associated with bidi smoke. The burden of tobacco use is shifting from developed to developing countries and it is generally believed that smoking habit is on the rise in India [5,12]. Therefore, the prevalence of COPD is expected to increase in the years to come and AE-COPD is likely to be an important reason for ER visits in India.
"	HP_0006510
PMC1764756_19	"Clinical presentation of AE-COPD observed in the present study (Table 2) was similar to that reported from studies reported from other parts of the world [7,13-18]. Several causes can contribute to altered sensorium in patients with AE-COPD. These include, type II respiratory failure and carbon dioxide narcosis, metabolic abnormalities such as dyselectrolytemia, uremia and hepatic function derangement among others. As these can be corrected, an active attempt must be made to identify them when patients present to the ER with AE-COPD. This is important in developing countries like India because, majority of the patients with AE-COPD seek emergency care at primary health centres, district hospitals and general hospitals where facilities for round-the-clock laboratory monitoring are seldom available. Unless these factors, that are often correctable, are specifically sought and checked, they may be missed. Thus, these factors not only confuse the diagnosis but also contribute to mortality.
"	HP_0006510;HP_0002878
PMC1764756_2	"During the period January 2000 to December 2004, 914 patients were diagnosed to have COPD and were treated and followed-up from the Medicine Out-patient Department and Chest Clinic of our tertiary care referral centre. During the study period, 314 of them presented to our ER with AE-COPD. Of these 314 patients, after initial stabilisation and management in the ER, 116 were admitted to the medical ICU; 18 were discharged from the ER; and the remaining 180 were admitted to the acute medical care unit and the medical wards of the hospital. The predictors for mortality were studied in the 116 patients who were admitted to the medical ICU. Patients in whom the primary cause of ER visit was bronchiectasis, interstitial lung disease, acute severe bronchial asthma, pulmonary edema or pulmonary embolism were excluded from the study. The study was approved by the institutional ethics committee.
"	HP_0002099;HP_0006530;HP_0100598;HP_0006510;HP_0002204;HP_0002110;HP_0012828;HP_0011009
PMC1764756_20	"Majority of the patients in the present study had co-morbid conditions (n = 53; 45.7%) (Table 1) and presence of co-morbid factors was a predictor of death (Table 5) in these patients. Co-morbid conditions can be a confusing factor when assessing a patient with AE-COPD, as they themselves can cause respiratory symptoms [19]. Furthermore, the co-morbid conditions can trigger AE-COPD and their presence has been considered to be a predictor of poor outcome in several studies [19]. In the present study, patients who presented with AE-COPD who also had type II diabetes mellitus and diabetic ketoacidosis (n = 3); type II diabetes mellitus and active pulmonary TB (n = 5) died suggesting that complications related co-morbid conditions also contribute to the morbidity and mortality. Therefore, accurate assessment of co-morbid conditions and institution of specific treatment aimed against them should also help in reducing the mortality in patients with AE-COPD.
"	HP_0005978;HP_0001953;HP_0006510;HP_0000819
PMC1764756_23	"Lack of uniform definition of AE-COPD hampers international comparisons and the evolution of uniform diagnostic testing and treatment guidelines [19]. Furthermore, initial evaluation of a patient in the ER in the guidelines issued by several international organisations are also different [27,28]. The recently published Indian guidelines deal with AE-COPD only briefly [29]. Guidelines for the initial diagnostic evaluation of AE-COPD should facilitate differentiating AE-COPD from other conditions which can mimick it such as congestive heart failure, pneumothorax, pleural effusion, pulmonary embolism and arrhythmias. With the evolution of a consensus definition [19], these differences are likely to be resolved.
"	HP_0011675;HP_0006510;HP_0002202;HP_0002204;HP_0001635;HP_0002107
PMC1764756_25	"In conclusion, in addition to the host genetic factors genetic factors, smoking behaviour, accessibility to health care and presence of co-morbid conditions contribute to morbidity and mortality due to AE-COPD. Correction of metabolic abnormalities such as dyselectrolytemia and judicious use of empirical antimicrobial treatment will also help in reducing the mortality. Large scale nationwide multicentric studies are required to clarify these issues and evolve consensus guidelines. Further research is required to clarify the association between pulmonary TB and COPD.
"	HP_0006510
PMC1764756_26	"The author(s) declare that they have no competing interests.
"	
PMC1764756_28	"The pre-publication history for this paper can be accessed here:
"	
PMC1764756_3	"In all of them, pulmonary function testing was done using Morgan Transfer Test Benchmark PFT System (Morgan Scientific, Inc. Haverhill, MA, USA) at the time of the initial out-patient visit and COPD was diagnosed based on the criteria laid down by the American Thoracic Society (ATS) [8] and post-bronchodilator forced expiratory volume in the first second to forced vital capacity (FEV1/FVC) ratio less than or equal to 0.7 was documented in all of them confirming the presence of airflow limitation that is not fully reversible. They were all receiving a combination of various bronchodilators and anticholinergic agents.
"	HP_0006510
PMC1764756_4	"AE-COPD was diagnosed if all of the following criteria were present at the time of ER visit: (i) recent rapid worsening of dyspnoea; (ii) increase in sputum purulence; and (iii) increase in sputum volume. Patients were eligible for only a single enrollment in this study. Hospital admissions during the study period subsequent to the index admission were not considered in the analysis.
"	HP_0006510;HP_0002094;HP_0002098
