id,index,text,labels,label_code,pred_labels
0,23184390_s1,"Primary murine and murine embryonic EPCs ( eEPCs ) were analyzed for the expression of angiogenic/chemokines and components of the MIF/CXC chemokine receptor axis , focusing on the influence of hypoxic versus normoxic stimulation .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
1,22802136_s5,"OSED combines DAO-induced oxidative stress with energy depletion caused by glycolytic inhibitors such as 3-bromopyruvate ( 3BP ) , a hexokinase II inhibitor that depleted ATP in cancer cells and induced production of hydrogen peroxide. 3BP disturbs the Warburg effect and antagonizes effects of lactate and pyruvate ( El Sayed et al. , J Bioenerg Biomembr , 44 , 61-79 , 2012 ) .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
2,1612500_s1,We reviewed 80 patients with vulvar melanoma seen between 1949 and 1990 .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
3,12814188_s0,The telomerase activity and the senescence profile of cultured breast fibroblasts from normal human interstitial and malignant stromal tissue were studied in comparison with their proliferation and differentiation pattern .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
4,22237206_s2,"Increased levels of ROS and cell death induced by H2AX overexpression alone or DNA damage leading to H2AX accumulation are reduced by treating cells with the antioxidant N-Acetyl-L-Cysteine ( NAC ) , the NADP(H) oxidase ( Nox ) inhibitor DPI , expression of Rac1N17 , and knockdown of Nox1 , but not Nox4 , indicating that induction of ROS by H2AX is mediated through Nox1 and Rac1 GTPase .","genomic instability and mutation,tumor promoting inflammation",[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],[]
5,20355335_s4,"In the present communication , we investigated the requirements of IIP48 and IIP49 for ATM activation by monitoring the cell cycle distribution and H2AX phosphorylation after irradiation of IIP48- and IIP49-depleted cells .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
6,22970388_s13,Breast cancer patients with bone metastases may be candidates for treatment with selective PIK3CA inhibitors .,activating invasion and metastasis,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
7,23056300_s3,The soft agar assay was used as a measure of anchorage independent growth .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
8,12664615_s5,"High expression level of 5-LO was detected in primary meningioma cells and surgical specimens by immunoblotting analysis , suggesting the possible role of 5-LO in meningioma tumorigenesis .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
9,23241743_s8,"Thus , we conclude that RORÎ³t has a central role in determining the balance between protective and pathogenic T(regs) in CC and that T(reg) subtype regulates inflammation , potency of immune surveillance , and severity of disease outcome .",tumor promoting inflammation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[]
10,23160380_s0,Adhesion to the extracellular matrix ( ECM ) is critical for epithelial tissue homeostasis and function .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
